pnl,duration,iv,vega,regime,z_score
-11.69921875,1,20.358619157685244,14.263289598489992,1,-0.15382284556236925
-35.25,9,10.260936546949951,14.210957550624126,1,-0.5341770343659782
170.6484375,48,20.436588201088064,14.232732434071943,1,2.7911620420709484
-53.30078125,6,21.923360815702853,14.346308710599398,1,-0.8257041046034101
-35.150390625,13,20.845065657249943,14.302947106899826,1,-0.5325683045908095
-17.69921875,14,12.224723956327884,14.261595830031604,1,-0.25072515672547147
-80.798828125,2,23.39255415468823,14.36186456523632,1,-1.2698081537132138
-24.298828125,6,24.581483071728776,14.313838623496038,1,-0.35731139026066755
-20.451171875,1,15.351943115595464,14.318744753781091,1,-0.2951702597296417
-23.44921875,1,24.33705529351339,14.286666163722542,1,-0.3435898715901111
-28.94921875,1,19.26071117574859,14.28822817647047,1,-0.43241699015628815
-20.650390625,9,16.68086591293922,14.283551052787736,1,-0.2983877192799791
-27.94921875,5,22.167993895984704,14.218853285743489,1,-0.4162666049624378
-20.298828125,3,21.232048988109185,14.222466943489929,1,-0.29270984948526607
-31.25,4,12.773581135317622,14.192440384516406,1,-0.4695754935905767
-4.451171875,14,11.559007416819824,14.20485895414128,1,-0.036764096628035765
16.099609375,25,11.055943232226058,14.187729714368498,1,0.2951389365940221
-15.650390625,3,14.06537888662703,14.145981373819987,1,-0.21763579331072727
-8.650390625,1,14.299449515009062,14.082073052262237,1,-0.10458309695377464
-13.849609375,2,22.162668376865124,14.153288367987503,1,-0.1885524824733639
-15.599609375,6,15.119341693141957,14.063378909732224,1,-0.21681565656260204
-20.849609375,15,15.313779021469376,14.062605250395585,1,-0.30160517883031646
59.201171875,34,15.715258239969684,13.98635751995712,1,0.9912457734258386
-43.451171875,6,22.829683114617357,14.098071359970657,1,-0.6666291191882003
96.75,54,12.14665958152677,14.012587970629882,1,1.597673811222271
-40.099609375,4,24.257989324293472,14.152309394031818,1,-0.6125000938119362
380.5,103,11.246856648339984,14.022531147359103,1,6.180345609977315
73.5,31,15.082745175450006,14.291060861221707,1,1.22217735546525
-54.548828125,11,10.551599479582151,14.337628812153744,1,-0.8458605423746414
-39.55078125,7,13.02982324025334,14.24126281045517,1,-0.6036363081879675
-23.099609375,7,16.04851640792587,14.26360301964976,1,-0.3379435455164798
-51.150390625,2,14.784424306484722,14.184423866757855,1,-0.7909744676924155
-25.900390625,3,15.78947465531007,14.22693612163239,1,-0.38317724154769356
-20.650390625,5,14.318182480468048,14.300741797380532,1,-0.2983877192799791
37.0,35,18.141759696244225,14.303554836530964,1,0.6326882958897113
-62.701171875,6,10.366999366100131,14.265217522305742,1,-0.97752403416982
9.69921875,18,16.505142285961742,14.318105821208915,1,0.19177016260916338
2.650390625,18,18.2122860346789,14.299281123596773,1,0.07792887322516728
-0.150390625,14,22.92248968446535,14.318730670476851,1,0.03269517719395354
49.19921875,25,24.956810724336297,14.316369225925834,1,0.8297103777662532
-5.201171875,1,21.83788454239548,14.334153785190509,1,-0.04887688552342354
193.5,84,12.927866211682137,14.285257221248449,1,3.160223578727295
-9.3515625,1,16.52670339365525,14.38877339984662,1,-0.11590729282211894
-17.30078125,1,12.629304348832656,14.367291155503777,1,-0.24429023762479674
15.30078125,17,20.192666238568144,14.39841649507175,1,0.2822375546715909
-26.25,9,18.262172614952352,14.428397064422338,1,-0.38882356762132486
-2.650390625,12,19.99400029122043,14.388872793502491,1,-0.007680785790672394
-24.548828125,3,15.807124490138415,14.349898789695825,1,-0.36134898655913017
-8.951171875,3,23.13181132730244,14.401086678430929,1,-0.10944083000036245
-14.650390625,10,10.42211736718816,14.326897646660868,1,-0.20148540811687687
-29.5,5,12.948859909577154,14.33834807425897,1,-0.4413123195013386
-13.798828125,21,17.139905602815325,14.343497649381373,1,-0.18773234572523867
206.05078125,64,16.438763760096247,14.277446057401477,1,3.36292353039855
85.05078125,35,20.105014489547123,14.45597582973259,1,1.4087269219426544
-13.849609375,7,22.748002962802065,14.452753936595576,1,-0.1885524824733639
30.701171875,32,17.480116708563358,14.43132230462587,1,0.530959795401103
-45.849609375,1,13.364856068477613,14.445078021904797,1,-0.7053648086765758
-18.400390625,12,17.756491166898925,14.4525549540273,1,-0.26204935259381573
-17.30078125,2,10.215828670911582,14.360363203168212,1,-0.24429023762479674
-11.701171875,1,20.94404817230319,14.34990522250472,1,-0.15385438928345097
-27.599609375,5,22.491472107939227,14.36468604770869,1,-0.4106202788888065
-29.798828125,4,10.950811260564072,14.359008107896504,1,-0.44613850882684464
-20.44921875,13,16.832249400930397,14.311044054183307,1,-0.29513871600856
-7.75,2,23.640626419159517,14.31848015079431,1,-0.09004144153509296
-37.8984375,3,12.088921176296068,14.289870972169393,1,-0.5769503201528163
-18.400390625,4,24.58556964297018,14.316457166231478,1,-0.26204935259381573
98.548828125,39,23.98157063643806,14.318554787534715,1,1.6267255783385528
162.400390625,71,18.117508238428535,14.33560376250782,1,2.657952907942765
-46.30078125,8,21.259796786147845,14.455995756130315,1,-0.7126514082464576
-38.0,5,20.648481405109283,14.295365031237557,1,-0.5785905936490667
29.80078125,40,24.041410081945685,14.263606001314368,1,0.5164181399824214
-21.150390625,19,19.28302413531059,14.291083938845196,1,-0.3064629118769043
-34.5,7,14.968616566779858,14.262682605286985,1,-0.5220642454705904
-76.80078125,2,18.36460383137559,14.228049127206011,1,-1.205238156658894
-30.201171875,11,12.56265486336152,14.190871510652263,1,-0.45263651536968286
37.150390625,22,11.995381401813177,14.16839459656595,1,0.6351171624130052
-16.80078125,7,15.488835304634364,14.289264949032464,1,-0.23621504502787152
-24.1484375,6,22.15962436313355,14.291274517476507,1,-0.35488252373737367
61.05078125,20,24.417726310737397,14.288560100255792,1,1.0211176772902455
29.5,29,12.168561543121218,14.338422122144356,1,0.5115604069358335
6.298828125,12,23.04362629436191,14.328981521712835,1,0.13685254420585577
-88.5,6,11.309822793673955,14.35487733018348,1,-1.3941850459385108
-19.80078125,2,10.64397879837182,14.344909893857302,1,-0.2846662006094226
1.900390625,11,14.069380088737484,14.260834156665462,1,0.0658160843297795
10.05078125,28,15.201050528851171,14.334339406893488,1,0.1974480324038764
-21.650390625,9,10.424740774642764,14.36199066999367,1,-0.31453810447382946
-26.650390625,4,20.96416054064922,14.28170817864936,1,-0.39529003044308136
-12.599609375,8,24.226824325322525,14.289537411160882,1,-0.1683645009810509
-54.849609375,6,14.103549925664204,14.2277801224792,1,-0.8507182754212292
-15.0,1,22.216826464244345,14.26127167892433,1,-0.20713173419050818
-18.298828125,3,23.68149275269389,14.22845238333357,1,-0.26040907909756533
-51.55078125,4,13.30426042236276,14.262828680047312,1,-0.797440930514172
-29.150390625,9,14.87259238096827,14.20768649545802,1,-0.4356659934277073
47.400390625,37,10.27970024379754,14.088994926570058,1,0.8006586106499716
113.1015625,29,18.14617094712232,14.205605500970064,1,1.86175784411859
-11.6484375,2,20.1624082391618,14.315296134317398,1,-0.15300270881424402
-21.3515625,8,13.71595847320321,14.29373194189814,1,-0.3097119151483234
4.099609375,20,20.170300347342387,14.309028032972352,1,0.10133431426781764
-8.94921875,2,13.948417818520742,14.253777739535918,1,-0.1094092862792807
-16.80078125,15,19.37487824769259,14.422771060997668,1,-0.23621504502787152
-6.298828125,14,12.292789671330125,14.38144602707573,1,-0.06660445677136087
-11.849609375,20,18.258912568378356,14.456363094473325,1,-0.15625171208566313
-18.75,6,20.31269536616033,14.455639537806205,1,-0.26769567866744703
-19.80078125,22,23.16870217070526,14.456466385766694,1,-0.2846662006094226
0.25,18,18.46055096393138,14.442225048402843,1,0.03916164001571004
-7.30078125,1,14.029978656394013,14.40601694355307,1,-0.08278638568629298
-9.599609375,1,17.45948918471752,14.44022991266209,1,-0.1199133453994998
-4.19921875,2,14.276877462772973,14.35562755028194,1,-0.03269495660849143
-8.44921875,2,16.416054726271792,14.361303494266842,1,-0.10133409368235552
-14.5,14,22.190237426591445,14.37111183667571,1,-0.199056541593583
-8.05078125,1,10.133346144735125,14.249673128707578,1,-0.09489917458168076
-42.849609375,2,12.470138145779307,14.288128126675058,1,-0.6569136530950247
-8.25,12,13.7581487845177,14.313660307544527,1,-0.09811663413201814
220.150390625,93,15.31783407774255,14.252396348159508,1,3.5906376528876236
-9.94921875,10,22.993173591114708,14.419586285347236,1,-0.12555967147313107
-21.400390625,9,15.955816650650098,14.455251870304044,1,-0.3105005081753669
-19.69921875,6,20.02015258679576,14.422091872957015,1,-0.2830259271131722
-7.849609375,1,19.20775237096853,14.417708038575782,1,-0.09165017131026164
-3.0,12,14.92512818302768,14.398289119543326,1,-0.013327111864303676
-8.701171875,2,21.539473136383897,14.4175651875597,1,-0.10540323370189986
104.0,63,10.370602559799549,14.449942221893018,1,1.7147641038776862
-40.75,9,13.123961590771284,14.457301062999107,1,-0.6230041529321553
-24.900390625,1,12.646004410764553,14.440898420449082,1,-0.3670268563538432
-14.599609375,15,17.448444560843143,14.537604007995665,1,-0.20066527136875167
-3.849609375,7,17.969985821752616,14.538476437298945,1,-0.027048630534860146
-24.25,4,24.37677720797796,14.468714458641973,1,-0.3565227972336241
-32.701171875,6,18.199070040221365,14.46831901603372,1,-0.4930124783543088
-14.0,4,13.45733969005175,14.455961468851608,1,-0.19098134899665778
-39.5,9,21.99375687218262,14.414805884173422,1,-0.6028161714398423
-31.451171875,5,20.059980203458103,14.412097169940958,1,-0.47282449686199585
-27.0,6,20.04925628990113,14.409096023629004,1,-0.4009363565167126
-12.0,1,17.68197647353738,14.410182323571805,1,-0.15868057860895704
-11.75,3,15.781444198107966,14.38644743325399,1,-0.15464298231049445
-9.0,1,22.522354746723774,14.398839269691122,1,-0.11022942302740592
-34.80078125,13,19.149142084004804,14.39391881461195,1,-0.5269219785171783
-23.900390625,6,18.078379246147417,14.318651681333336,1,-0.3508764711599928
-21.349609375,5,11.852313343278134,14.313786037781677,1,-0.30968037142724164
-77.69921875,5,17.098901454189647,14.177389682070087,1,-1.219748268356494
158.0,44,23.30737221145915,14.125639537649937,1,2.586884904345607
-138.048828125,17,18.45321111945514,14.227297825034343,1,-2.1944177060611474
-24.451171875,14,20.067629402861566,14.162907543657216,1,-0.3597718005050432
-45.6484375,4,19.219038263686585,14.204909808919354,1,-0.7021158054051567
19.048828125,23,15.651060319515503,14.207974064860162,1,0.34276995542744804
